Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1159445,5,4,8,10,15,0,161,0.000%,19341.81333,3343.26,6308.76
TOTAL,1159445,5,4,8,10,15,0,161,0.000%,19341.81333,3343.26,6308.76
