Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1238998,4,4,8,10,15,0,177,0.000%,20667.87883,3451.37,6741.28
TOTAL,1238998,4,4,8,10,15,0,177,0.000%,20667.87883,3451.37,6741.28
