Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,755782,0,1,1,1,2,0,222,0.000%,12609.60675,2179.59,4112.90
TOTAL,755782,0,1,1,1,2,0,222,0.000%,12609.60675,2179.59,4112.90
