Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,804587,0,1,1,1,2,0,168,0.000%,13423.65444,2241.65,4378.42
TOTAL,804587,0,1,1,1,2,0,168,0.000%,13423.65444,2241.65,4378.42
